Id,WindowId,FileName,AriaOpera,AriaLabel,AriaName,Act,Scene,ActAndScene,Year,Decade,Composer,Character,Gender,Harmony_Analysis_Available
28,0,/home/federico/galuppi-perez/data/corpus/xml/Ale06M-Se_mai-1749-Perez[1.06][1350].xml,Ale,Ale06M,Se_mai,1,06,106,1749,1740s,Davide Perez,Poro,Male,1
29,0,/home/federico/galuppi-perez/data/corpus/xml/Ale06M-Se_mai-1752-Perez[1.06][1058].xml,Ale,Ale06M,Se_mai,1,06,106,1752,1750s,Davide Perez,Poro,Male,1
30,0,/home/federico/galuppi-perez/data/corpus/xml/Ale06M-Se_mai-1755-Galuppi[1.06][0673].xml,Ale,Ale06M,Se_mai,1,06,106,1755,1750s,Baldassare Galuppi,Poro,Male,1
31,0,/home/federico/galuppi-perez/data/corpus/xml/Ale06M-Se_mai-1755-Perez[1.06][0694].xml,Ale,Ale06M,Se_mai,1,06,106,1755,1750s,Davide Perez,Poro,Male,1
32,0,/home/federico/galuppi-perez/data/corpus/xml/Ale07M-Se_mai-1738-Galuppi[1.07][1275].xml,Ale,Ale07M,Se_mai,1,07,107,1738,1730s,Baldassare Galuppi,Cleofide,Male,1
33,0,/home/federico/galuppi-perez/data/corpus/xml/Ale07M-Se_mai-1749-Perez[1.07][1368].xml,Ale,Ale07M,Se_mai,1,07,107,1749,1740s,Davide Perez,Cleofide,Male,1
34,0,/home/federico/galuppi-perez/data/corpus/xml/Ale07M-Se_mai-1752-Perez[1.07][1059].xml,Ale,Ale07M,Se_mai,1,07,107,1752,1750s,Davide Perez,Cleofide,Male,1
35,0,/home/federico/galuppi-perez/data/corpus/xml/Ale07M-Se_mai-1755-Galuppi[1.07][0674].xml,Ale,Ale07M,Se_mai,1,07,107,1755,1750s,Baldassare Galuppi,Cleofide,Male,1
36,0,/home/federico/galuppi-perez/data/corpus/xml/Ale07M-Se_mai-1755-Perez[1.07][0695].xml,Ale,Ale07M,Se_mai,1,07,107,1755,1750s,Davide Perez,Cleofide,Male,1
37,0,/home/federico/galuppi-perez/data/corpus/xml/Ale08M-Se_possono-1738-Galuppi[1.09][1276].xml,Ale,Ale08M,Se_possono,1,09,109,1738,1730s,Baldassare Galuppi,Poro,Male,1
38,0,/home/federico/galuppi-perez/data/corpus/xml/Ale08M-Se_possono-1749-Perez[1.09][1351].xml,Ale,Ale08M,Se_possono,1,09,109,1749,1740s,Davide Perez,Poro,Male,1
39,0,/home/federico/galuppi-perez/data/corpus/xml/Ale08M-Se_possono-1752-Perez[1.09][1060].xml,Ale,Ale08M,Se_possono,1,09,109,1752,1750s,Davide Perez,Poro,Male,1
40,0,/home/federico/galuppi-perez/data/corpus/xml/Ale08M-Se_possono-1752-Perez[1.09][1061].xml,Ale,Ale08M,Se_possono,1,09,109,1752,1750s,Davide Perez,Poro,Male,1
41,0,/home/federico/galuppi-perez/data/corpus/xml/Ale08M-Se_possono-1755-Galuppi[1.09][0675].xml,Ale,Ale08M,Se_possono,1,09,109,1755,1750s,Baldassare Galuppi,Poro,Male,1
42,0,/home/federico/galuppi-perez/data/corpus/xml/Ale09M-Compagni_nell-1752-Perez[1.10][1062].xml,Ale,Ale09M,Compagni_nell,1,10,110,1752,1750s,Davide Perez,Erissena,Male,1
43,0,/home/federico/galuppi-perez/data/corpus/xml/Ale10M-Voi_che-1738-Galuppi[1.11][1277].xml,Ale,Ale10M,Voi_che,1,11,111,1738,1730s,Baldassare Galuppi,Gandarte,Male,1
44,0,/home/federico/galuppi-perez/data/corpus/xml/Ale10M-Voi_che-1749-Perez[1.11][1370].xml,Ale,Ale10M,Voi_che,1,11,111,1749,1740s,Davide Perez,Gandarte,Male,1
45,0,/home/federico/galuppi-perez/data/corpus/xml/Ale10M-Voi_che-1752-Perez[1.11][1063].xml,Ale,Ale10M,Voi_che,1,11,111,1752,1750s,Davide Perez,Gandarte,Male,1
46,0,/home/federico/galuppi-perez/data/corpus/xml/Ale10M-Voi_che-1755-Perez[1.10][0696].xml,Ale,Ale10M,Voi_che,1,10,110,1755,1750s,Davide Perez,Gandarte,Male,1
47,0,/home/federico/galuppi-perez/data/corpus/xml/Ale115X-E_maggiore-1752-Perez[1.17][1065].xml,Ale,Ale115X,E_maggiore,1,17,117,1752,1750s,Davide Perez,Cleofide,Male,1
48,0,/home/federico/galuppi-perez/data/corpus/xml/Ale116X-Vanne_piu-1752-Perez[3.02][1066].xml,Ale,Ale116X,Vanne_piu,3,02,302,1752,1750s,Davide Perez,Alessandro,Male,1
49,0,/home/federico/galuppi-perez/data/corpus/xml/Ale117X-Solo_ascolto-1752-Perez[3.06][1067].xml,Ale,Ale117X,Solo_ascolto,3,06,306,1752,1750s,Davide Perez,Timagene,Male,1
