Id,Form,Character,Gender,RoleType,City,Territory
0904,Da capo,Alessandro,Male,Tenore,Vienna,Empire
0905,Da capo,Poro,Male,Primo soprano,Vienna,Empire
0906,Dal segno,Poro,Male,Primo soprano,Vienna,Empire
0907,Dal segno,Alessandro,Male,Tenore,Vienna,Empire
0908,Da capo,Gandarte,Male,Secondo uomo,Vienna,Empire
0909,Da capo,Alessandro,Male,Tenore,Vienna,Empire
0910,Da capo,Poro,Male,Primo soprano,Vienna,Empire
0911,Da capo,Gandarte,Male,Secondo uomo,Vienna,Empire
0912,Da capo,Erissena,Male,Seconda donna,Vienna,Empire
0913,AA,Erissena,Male,Seconda donna,Vienna,Empire
0914,AA,Cleofide,Male,Prima donna,Vienna,Empire
0915,Dal segno,Cleofide,Male,Prima donna,Vienna,Empire
0916,Da capo,Erissena,Male,Seconda donna,Vienna,Empire
0917,Da capo,Cleofide,Male,Prima donna,Vienna,Empire
0918,ABABA,Cleofide,Male,Prima donna,Vienna,Empire
0919,Da capo,Demofoonte,Male,Tenore,Stuttgart,Empire
0920,Dal segno,Matusio,Male,Parte ultima,Stuttgart,Empire
0921,Dal segno,Dircea,Male,Prima donna,Stuttgart,Empire
0922,Dal segno,Timante,Male,Primo soprano,Stuttgart,Empire
0923,Dal segno,Creusa,Male,Seconda donna,Stuttgart,Empire
0924,Dal segno,Cherinto,Male,Secondo uomo,Stuttgart,Empire
0925,ABC,"Dircea,Timante,Matusio",Male&Male&Male,"Prima donna,Primo soprano,Parte ultima",Stuttgart,Empire
0926,Dal segno,Creusa,Male,Seconda donna,Stuttgart,Empire
0927,ABA,Timante,Male,Primo soprano,Stuttgart,Empire
0928,Dal segno,Demofoonte,Male,Tenore,Stuttgart,Empire
0929,Dal segno,Matusio,Male,Parte ultima,Stuttgart,Empire
0930,Dal segno,Creusa,Male,Seconda donna,Stuttgart,Empire
0931,Dal segno,Cherinto,Male,Secondo uomo,Stuttgart,Empire
0932,Dal segno,Demofoonte,Male,Tenore,Stuttgart,Empire
0933,Dal segno,Adrasto,Male,Settima parte,Stuttgart,Empire
0934,Da capo,Demofoonte,Male,Tenore,Stuttgart,Empire
0935,Dal segno,"Dircea,Timante",Male&Male,"Prima donna,Primo soprano",Stuttgart,Empire
0936,Da capo,Dircea,Male,Prima donna,Stuttgart,Empire
0937,Da capo,Creusa,Male,Seconda donna,Stuttgart,Empire
0938,ABA,Matusio,Male,Parte ultima,Naples,Italy
0939,Dal segno,Dircea,Male,Prima donna,Naples,Italy
0940,ABA,Demofoonte,Male,Tenore,Naples,Italy
0941,Dal segno,Timante,Male,Primo soprano,Naples,Italy
0942,ABA,Creusa,Male,Seconda donna,Naples,Italy
0943,ABA,Cherinto,Male,Secondo uomo,Naples,Italy
0944,ABA,"Dircea,Timante,Matusio",Male&Male&Male,"Prima donna,Primo soprano,Parte ultima",Naples,Italy
0945,ABA,Matusio,Male,Parte ultima,Naples,Italy
0946,ABA,Creusa,Male,Seconda donna,Naples,Italy
0947,ABA,Timante,Male,Primo soprano,Naples,Italy
0948,ABA,Demofoonte,Male,Tenore,Naples,Italy
0949,ABA,Cherinto,Male,Secondo uomo,Naples,Italy
0950,ABA,Demofoonte,Male,Tenore,Naples,Italy
0951,ABAB,"Dircea,Timante",Male&Male,"Prima donna,Primo soprano",Naples,Italy
0952,Dal segno,Adrasto,Male,Settima parte,Naples,Italy
0953,Dal segno,Timante,Male,Primo soprano,Naples,Italy
0954,Dal segno,Dircea,Male,Prima donna,Naples,Italy
0955,Da capo,Timagene,Male,Parte ultima,Vienna,Empire
0956,Da capo,"Cleofide,Poro",Male&Male,"Prima donna,Primo soprano",Vienna,Empire
0957,Dal segno,Timagene,Male,Parte ultima,Vienna,Empire
0958,Dal segno,Gandarte,Male,Secondo uomo,London,England
0959,Da capo,Poro,Male,Primo soprano,London,England
0960,Dal segno,Alessandro,Male,Tenore,London,England
0961,Dal segno,Erissena,Male,Seconda donna,London,England
0962,A,Poro,Male,Primo soprano,London,England
0963,Da capo,Cleofide,Male,Prima donna,London,England
0964,Dal segno,Poro,Male,Primo soprano,London,England
0965,Dal segno,Erissena,Male,Seconda donna,London,England
0966,Dal segno,Alessandro,Male,Tenore,London,England
0967,Da capo,"Cleofide,Poro",Male&Male,"Prima donna,Primo soprano",London,England
0968,Da capo,Alessandro,Male,Tenore,London,England
0969,Dal segno,Cleofide,Male,Prima donna,London,England
0970,Da capo,Poro,Male,Primo soprano,London,England
0971,Dal segno,Cleofide,Male,Prima donna,London,England
0972,Dal segno,Gandarte,Male,Secondo uomo,London,England
0973,Dal segno,Erissena,Male,Seconda donna,London,England
