Id,Form,Character,Gender,RoleType,City,Territory
1235,AA,Cleofide,Male,Prima donna,Modena,Italy
1236,ABA,Matusio,Male,Parte ultima,Forli,Italy
1237,ABA,Dircea,Male,Prima donna,Forli,Italy
1238,ABA,Creusa,Male,Seconda donna,Padua,Italy
1239,Dal segno,Erissena,Male,Seconda donna,,Italy
1240,Dal segno,Cherinto,Male,Secondo uomo,Madrid,Spain
1241,Da capo,Timante,Male,Primo soprano,Madrid,Spain
1242,Da capo,Creusa,Male,Seconda donna,Madrid,Spain
1243,Da capo,Dircea,Male,Prima donna,Madrid,Spain
1244,Da capo,Poro,Male,Primo soprano,Turin,Italy
1245,Da capo,Poro,Male,Primo soprano,Turin,Italy
1246,ABA,Demofoonte,Male,Tenore,Forli,Italy
1247,Da capo,Poro,Male,Primo soprano,Turin,Italy
1248,Da capo,Cleofide,Male,Prima donna,Turin,Italy
1249,Da capo,Alessandro,Male,Tenore,Turin,Italy
1250,Da capo,Timagene,Male,Parte ultima,Turin,Italy
1251,Dal segno,Erissena,Male,Seconda donna,Naples,Italy
1252,Da capo,Erissena,Male,Seconda donna,Naples,Italy
1253,Dal segno,Cleofide,Male,Prima donna,Stuttgart,Empire
1254,Da capo,Erissena,Male,Seconda donna,Venice,Italy
1255,Da capo,Erissena,Male,Seconda donna,Venice,Italy
1256,Da capo,Erissena,Male,Seconda donna,Venice,Italy
1257,Da capo,Gandarte,Male,Secondo uomo,Venice,Italy
1258,Da capo,Gandarte,Male,Secondo uomo,Bologna,Italy
1259,ABA,Timante,Male,Primo soprano,Forli,Italy
1260,ABA,Dircea,Male,Prima donna,Forli,Italy
1261,Dal segno,Timante,Male,Primo soprano,Padua,Italy
1262,Da capo,Gandarte,Male,Secondo uomo,Mantua,Italy
1263,Dal segno,Poro,Male,Primo soprano,Mantua,Italy
1264,Dal segno,Poro,Male,Primo soprano,Mannheim,Empire
1265,ABA,Dircea,Male,Prima donna,Forli,Italy
