Id,first_phrase_measure,length_first_phrase
0292,2.0,25.0
0293,26.0,41.0
0294,23.0,37.0
0295,10.0,7.0
0296,15.0,31.0
0297,1.0,10.0
0298,24.0,44.0
0299,29.0,38.0
0300,8.0,14.0
0301,14.0,15.0
0302,2.0,11.0
0303,3.0,19.0
0304,2.0,38.0
0305,7.0,34.0
0306,13.0,42.0
0307,10.0,17.5
0308,0.0,37.0
0309,7.0,59.0
0310,11.0,22.0
0311,0.0,85.0
0312,32.0,63.0
0313,,24.0
0314,12.0,12.0
0315,20.0,12.0
0316,,21.0
0317,2.0,11.0
0318,6.0,10.0
0319,20.0,30.0
0320,4.0,12.0
0321,8.0,16.0
0322,10.0,10.0
0323,,6.0
0324,32.0,41.0
0325,,27.0
0326,12.5,10.5
0327,,30.0
0328,14.0,16.0
0329,,16.0
0330,,18.5
0331,,42.0
0332,22.0,36.0
0333,23.0,41.0
0334,10.0,12.0
0335,7.0,7.0
0336,11.5,22.0
0337,21.0,13.0
0338,29.0,26.0
0339,43.0,48.0
0340,27.0,31.0
0341,29.0,46.0
0342,18.0,33.0
0343,,10.0
0344,26.0,42.0
0345,16.0,21.0
0346,14.0,17.0
0347,3.0,22.0
0348,48.0,37.0
0349,,30.0
0350,,72.0
0351,28.0,28.0
0352,19.0,35.0
0353,5.0,21.0
0354,21.0,45.0
0355,,21.0
0356,21.0,28.0
0357,24.0,32.0
0358,29.0,42.0
0359,14.0,19.0
0360,17.0,31.0
0361,17.0,18.0
0362,10.0,15.0
0363,25.0,47.0
0364,,21.0
0365,8.0,33.0
0366,15.0,24.0
0367,9.0,37.0
0368,21.0,31.0
0369,17.0,33.0
0370,,28.0
0371,5.0,26.0
0372,44.0,58.0
0373,11.0,11.0
0374,20.0,16.0
0375,,16.0
0376,16.0,12.0
0377,,9.0
0378,20.0,30.0
0379,16.0,15.0
0380,25.0,30.0
0381,14.0,14.5
0382,,48.0
0383,4.5,3.5
0384,8.5,7.0
0385,21.0,14.0
0386,5.0,11.0
0387,10.0,11.5
0388,8.0,15.0
0389,8.5,9.5
0390,,21.0
0391,10.0,18.0
0392,26.0,43.0
0393,6.0,7.5
0394,9.0,10.0
0395,3.0,4.0
0396,22.0,21.5
0397,14.0,22.0
0398,20.0,27.0
0399,,30.0
0400,,29.0
0401,0.5,8.0
0402,17.0,16.0
0403,9.0,7.5
0404,7.0,11.5
0405,25.0,24.0
0406,15.0,16.0
0407,,22.0
0408,10.0,6.0
0409,,16.0
0410,8.0,8.5
0411,,6.5
0412,4.5,10.0
0413,20.0,14.0
0414,17.0,21.0
0415,25.0,34.0
0416,,8.0
0417,,19.0
0418,8.5,12.0
0419,20.0,16.0
0420,8.5,7.5
0421,,25.0
0422,12.0,18.0
0423,20.0,23.0
0424,5.0,4.5
0425,6.0,12.0
0426,,19.0
0427,4.0,5.5
0428,22.0,44.0
